Date,refloc,IndexSeries,IndexSymbol,CreditVix_pc,CreditVix_bp,NearTerm,NextTerm,Percentage_Near,BasisPoint_Near,D1,Percentage_Next,BasisPoint_Next,D2,sigma1sq_pc,sigma2sq_pc,sigma1sq_bp,sigma2sq_bp,T1,T2,IndexVersion
2018-09-21,N1730,31,VIXIG,41.95131728,30.17943179,2018-10-17,2018-11-21,41.65306024,29.52792345,26,42.92181539,32.23810036,61,0.173497743,0.184228224,0.087189826,0.103929511,0.071232877,0.167123288,
2018-09-21,L1730,30,VIXXO,38.02867783,112.6215095,2018-10-17,2018-11-21,38.11612367,111.6573501,26,37.73837971,115.7493294,61,0.145283888,0.14241853,1.246736383,1.339790725,0.071232877,0.167123288,
2018-09-24,L1730,30,VIXFS,52.58474482,45.9983911,2018-10-17,2018-11-21,52.50067421,45.54733819,23,52.7178232,46.70492037,58,0.275632079,0.277916888,0.207456002,0.218134959,0.063013699,0.15890411,
2018-09-24,N1730,30,VIXHY,33.05117763,121.7239315,2018-10-17,2018-11-21,31.92477963,115.6303059,23,34.76309687,130.8087246,58,0.101919155,0.12084729,1.337036764,1.711092244,0.063013699,0.15890411,
2018-09-24,L1730,30,VIXIE,45.43035079,35.89498365,2018-10-17,2018-11-21,45.80000301,35.64892675,23,44.8377555,36.28185824,58,0.209764028,0.201042432,0.127084598,0.131637324,0.063013699,0.15890411,
2018-09-24,N1730,31,VIXIG,43.54826732,31.97799787,2018-10-17,2018-11-21,43.13316909,30.87837824,23,44.19870349,33.64859525,58,0.186047028,0.195352539,0.095347424,0.113222796,0.063013699,0.15890411,
2018-09-24,L1730,30,VIXXO,37.81512096,113.1015625,2018-10-17,2018-11-21,37.3876884,109.7411973,23,38.48338099,118.2360673,58,0.139783924,0.148097061,1.204313039,1.39797676,0.063013699,0.15890411,
2018-09-25,L1730,30,VIXFS,53.21979676,47.2691398,2018-10-17,2018-11-21,54.04403526,47.41106523,22,52.12657511,47.08362166,57,0.292075775,0.271717983,0.224780911,0.221686743,0.060273973,0.156164384,
2018-09-25,N1730,30,VIXHY,32.77008358,120.3308969,2018-10-17,2018-11-21,31.40033717,112.8345526,22,34.47283062,129.4464348,57,0.098598117,0.118837605,1.273163625,1.675637948,0.060273973,0.156164384,
2018-09-25,L1730,30,VIXIE,44.53703763,34.93344503,2018-10-17,2018-11-21,44.80199936,34.51592223,22,44.18950752,35.46995336,57,0.200721915,0.195271258,0.119134889,0.125811759,0.060273973,0.156164384,
2018-09-25,N1730,31,VIXIG,44.52374801,31.87856777,2018-10-17,2018-11-21,45.55757933,31.54033755,22,43.13990605,32.31384808,57,0.207549303,0.186105149,0.099479289,0.104418478,0.060273973,0.156164384,
2018-09-25,L1730,30,VIXXO,38.03807914,114.3815293,2018-10-17,2018-11-21,37.84477959,111.4416668,22,38.28841369,118.1013854,57,0.143222734,0.146600262,1.241924509,1.394793722,0.060273973,0.156164384,
2018-09-26,L1730,30,VIXFS,52.62314203,47.56098165,2018-10-17,2018-11-21,53.59610022,47.69913797,21,51.54838461,47.41085799,56,0.287254196,0.265723596,0.227520776,0.224778946,0.057534247,0.153424658,
2018-09-26,N1730,30,VIXHY,31.67000053,114.4797333,2018-10-17,2018-11-21,30.29853438,107.1165773,21,33.09167559,121.9558454,56,0.091800119,0.109505899,1.147396113,1.487322822,0.057534247,0.153424658,
2018-09-26,L1730,30,VIXIE,43.19073465,33.14964283,2018-10-17,2018-11-21,43.48299112,32.62973702,21,42.87187528,33.70382509,56,0.189077052,0.183799769,0.106469974,0.113594783,0.057534247,0.153424658,
2018-09-26,N1730,31,VIXIG,41.03020905,29.55723478,2018-10-17,2018-11-21,40.88047899,28.55017169,21,41.19180243,30.61085489,56,0.167121356,0.169676459,0.08151123,0.093702444,0.057534247,0.153424658,
2018-09-26,L1730,30,VIXXO,37.54269414,112.1819283,2018-10-17,2018-11-21,37.24046279,108.6634028,21,37.86738943,115.8731596,56,0.138685207,0.143393918,1.180773512,1.342658911,0.057534247,0.153424658,
2018-09-27,L1730,30,VIXFS,53.96966617,48.40269868,2018-10-17,2018-11-21,55.03166959,48.45734274,20,52.98574047,48.35296869,55,0.302848466,0.280748869,0.234811406,0.233800958,0.054794521,0.150684932,
2018-09-27,N1730,30,VIXHY,30.89525257,110.1684595,2018-10-17,2018-11-21,29.94363161,104.3296407,20,31.73561022,115.2200028,55,0.089662107,0.100714896,1.088467392,1.327564904,0.054794521,0.150684932,
