Date,VIXIG Percent,VIXIG Basis Point,VIXHY Percent,VIXHY Basis Point,VIXIE Percent,VIXIE Basis Point,VIXXO Percent,VIXXO Basis Point,VIXFS Percent,VIXFS Basis Point
2019-03-28,49.42478941,37.91895665,39.86239454,162.2010355,55.42960767,42.71748326,49.97258276,153.994259,63.15590652,58.41431644
2019-03-29,47.78652002,35.57879086,37.75517874,149.6448474,54.18280332,39.72854549,48.54302049,144.31305419999998,61.84049508,54.040489
2019-04-01,45.71632576,32.94074294,36.28772693,140.5968882,52.94252456,37.28201889,46.40653867,132.0860453,58.4055789,49.47001282
2019-04-02,46.75747409,33.96301225,36.84160146,143.7072443,52.66104314,37.28856094,44.7769856,127.31246680000001,60.88847639,53.50156439
2019-04-03,46.72327447,33.49339996,37.23740763,145.2208593,51.67613873,35.6506221,43.69983288,122.70099479999999,61.66723387,52.29038028
2019-04-04,46.82268245,33.47555431,37.14149801,144.38202909999998,51.42695445,36.25350801,43.63631935,123.8877308,63.31672574,54.52972768
2019-04-05,45.79023776,31.77031505,36.94221806,141.7454467,51.62466153,36.33219806,44.18046544,126.02625570000001,60.70995574,50.27791988
2019-04-08,45.56204094,31.25921004,36.79969292,141.9057553,51.98869088,37.04853817,43.98638414,126.38568899999999,61.15749475,51.57077215
2019-04-09,45.63674839,32.17236939,37.32202669,143.4607108,52.04571364,36.69868617,43.26847386,123.26312970000001,59.97132054,49.51850715
2019-04-10,44.76422296,30.57379756,35.18234889,133.7069147,48.69763301,33.53014957,42.57163348,120.64441770000002,58.06513567,46.99460108
2019-04-11,44.25806665,29.95206874,34.81730998,129.85662920000001,45.34793379,29.85363308,40.10015,108.6678983,54.58493637,41.54454134
2019-04-12,42.54654915,27.70718929,33.4286686,122.1404246,44.71739774,28.86269389,37.95562963,101.93931690000001,51.48187299,37.50853744
2019-04-15,44.45066039,28.86260161,33.60868367,123.80614820000001,45.00270661,30.32539126,38.60467019,105.4789449,54.97456749,41.75000163
2019-04-16,44.43825422,29.67846003,33.14633574,122.4544277,,,39.28842691,108.4169548,54.87502195,42.56521378
2019-04-17,43.746317299999994,28.99019306,33.2397229,123.6486231,45.14274151,30.36809682,38.02146837,103.57976120000001,52.28206597,39.93879593
2019-04-18,43.68726874,29.23336954,32.52824488,120.3791413,44.71772545,29.42240959,37.32022947,101.19921690000001,53.05430514,39.85391703
2019-04-22,44.52548805,29.69962277,33.76976288,126.8926591,44.84556421,29.61450915,37.48907987,102.0775441,53.15690649,40.10628959
2019-04-23,43.79622087,28.69479571,33.51716808,124.49263119999999,45.42488024,30.7555336,38.11285991,105.0313264,54.89795247,43.24322046
2019-04-24,44.8212391,30.27653808,33.96820555,128.0474532,46.71551204,32.30070076,38.76927941,109.31924950000001,55.33471774,43.94118525
2019-04-25,45.3885036,30.85437168,34.30915591,130.07832439999999,48.7874022,34.36504682,40.62246882,116.3671602,57.90804038,47.36920801
2019-04-26,44.02550318,29.31316256,34.31282926,126.6491977,48.79918949,33.58370018,39.34762154,110.54479280000001,56.28542821,44.38165368
2019-04-29,43.72896105,29.70981911,33.90609591,127.08638909999998,46.62054119,31.59296931,38.94186528,108.39016770000002,55.31997281,42.5737716
2019-04-30,44.23089627,29.82584425,34.01508373,127.28473290000001,45.66536253,30.73486666,38.63454387,108.22445619999999,53.85432996,40.94689365
2019-05-01,44.70166483,30.47494061,33.60251401,126.6471514,45.9933776,30.83883085,39.1791834,109.92019280000001,53.91353052,41.04893933
2019-05-02,46.01283445,31.85681043,35.42594772,133.68509450000002,46.15882327,31.68918004,39.83305081,114.45510060000001,54.55731748,42.47130719
2019-05-03,43.88179533,30.15888631,34.24446335,126.519503,45.80264337,30.70310549,38.84801602,109.0193959,54.51876752,42.19934175
